country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Country_502,0.29255997821990853,553.358736420179,16.36890262934072,21.19639500064927,9.22725175076675,18.293956870034677,3.0178379731498506,6.9116879234132895,39.53016712529719,7.225433097221523
Country_503,0.4270154580111122,527.7018766641962,57.826183220778105,14.69638522256359,63.792095466042184,39.31934163199404,15.870734472254922,98.58829130871901,50.72174484387047,65.53530567782147
Country_504,0.49694623914825886,593.5587496841649,12.11756721757814,22.02642643080022,21.97770110022531,55.303274942574006,6.252902748266321,45.74984305769593,3.105531969872044,92.3266562670507
Country_505,0.6983800467916528,432.50062314669646,19.780883656755055,44.466943347216706,68.2908444445996,83.04380121431238,19.321832105406088,41.883890587544506,56.67436829719731,2.311105442575956
Country_506,0.19309489026870308,417.4120105551697,34.777555627287235,38.86975127416305,97.7430535256394,36.049411592962144,93.42251252883403,98.9983957291047,43.41939661648577,97.58777909718151
Country_507,0.8854632044958155,591.2164272914194,75.09223860763004,4.4798493477619825,6.324990679690101,6.036101038818698,64.48121278198093,68.02096959245684,4.926624870640772,96.11687908345343
Country_508,0.8858734521983948,579.3549931771036,8.923473103572055,26.707350109703405,17.73526288348638,46.82694305221419,51.531244704933734,84.02400401342757,50.05555376629085,23.09879321128614
Country_509,0.0971549487449046,494.1964182466245,71.83123881865934,22.37640266877588,3.8897374803807394,2.9711368440921593,17.930125009823072,84.38327179023663,99.51330664865844,25.14148134934071
Country_510,0.04433760525031172,473.59893939842294,5.085634610474454,34.51691222658104,60.93586784909656,46.277118924396156,97.79512364858398,30.658468367049153,43.35281644298833,12.748686914992934
Country_511,0.47770361906581693,470.59834747422383,33.86260541668767,24.78803006120402,82.08334923137289,39.492249879834695,50.57712440374142,89.94278695382253,5.604978176050013,26.298899706171596
Country_512,0.7449902279662601,428.4569245938146,66.054070805769,34.207069497049986,88.26422211561514,32.85816893360727,1.2154336226323115,98.05064222715113,43.606766160207044,89.86276743760492
Country_513,0.45919652295636526,410.65471286169895,53.3183347778952,9.07760664522328,11.261164183525562,80.24517956867386,11.542471973995006,30.017422540844674,17.928411673876422,51.175075689393836
Country_514,0.5781576864443551,555.8970241005848,24.845241016800056,38.76613668817602,44.34965696197936,76.21069743387365,29.87208049268967,24.557970281112272,22.593823857819338,35.31867833986436
Country_515,0.8510834393970246,513.7907267995561,30.615336684260996,30.416537751563865,91.59027750735193,92.26685179349542,31.080952810622207,22.975135015232095,18.845301943081992,31.243671500575587
Country_516,0.3351275198055155,517.7986448138436,72.3175056673734,14.30042116374115,94.47144916123376,95.96906049675437,82.68900219271035,53.228299376548335,92.60963992361202,63.62185887149965
Country_517,0.70303581833459,476.37795728172074,41.97560838856831,32.87820197737762,58.43142184798358,10.861170701343204,53.25211251114056,3.4629052299468888,41.98495329649854,96.78987417530513
Country_518,0.328475941913315,430.82514565659824,41.53288871252264,11.654135167868867,84.86570347527142,35.34435710745818,83.18993793553948,95.51858060489607,69.77879780293084,10.428613462741277
Country_519,0.18544978168088144,485.23795115971774,37.060170623938134,22.371088164442597,49.66727261501225,77.67952337890863,38.468251678384746,27.635497869073333,85.13221349269178,36.72434616277768
Country_520,0.9037897385189997,422.2403887974226,64.00388809848971,28.064508869528716,13.9747526634609,32.353472313726115,7.847059904546305,49.05113761029458,92.45338174360239,22.045663904738568
Country_521,0.5558228249436636,413.2904988917747,32.44609906853143,18.563318010601172,75.1749646559287,44.23400682035259,85.57938665748893,63.7861795697432,72.05266991398635,71.42165112875098
Country_522,0.05814060177247049,477.4448595883276,3.0049227138358447,29.79634987935416,19.42878066993574,85.71837943398467,17.795710344128846,73.48845502715264,94.65311401606219,85.44380068273622
Country_523,0.7454430118255803,427.3725947480771,29.0111635589417,31.337195364694864,75.6258793830004,47.926512395067675,92.28275233568523,46.49961211563689,41.245706404759616,45.86397601309344
Country_524,0.9469191026114331,559.7653891740915,38.65627005266441,46.42105427562836,76.68104079589206,38.04015637543391,67.22941192240616,70.38561435463728,48.27594446616536,53.42563736600168
Country_525,0.3196770909465413,447.95481426647916,21.64738802084226,49.258108670949646,54.9644197370555,70.17374320756672,4.493542680824536,1.1651169120374116,80.49552600118798,54.60676307619286
Country_526,0.9618684516832741,446.35366396665904,7.028879360925055,25.14678737322823,9.56382326060633,88.67245047904389,80.91018540958545,54.3543088874015,72.8126866096503,2.018801569414419
Country_527,0.7248569698465214,530.1829559963109,15.542174846240774,28.661217478513944,15.58299846412381,46.70219977746811,10.65565051380103,50.92756307603317,87.92267029413767,30.07365084144894
Country_528,0.36095614141235166,545.1044989195601,66.38361337911185,14.66819121441974,71.74812366172941,39.84842245274211,57.40123400875141,73.94425662228835,63.92266653028646,33.45799210188821
Country_529,0.2605208727457121,400.6562554336469,99.09055706367117,42.89599772444461,8.29412027781611,85.04168416798838,13.562652378953398,7.852767930642878,60.37600085610424,91.88510708343578
Country_530,0.7570537454552086,401.20290462294776,96.689067012456,31.33206581256091,53.971309664059184,21.827053115652863,90.10863954100014,86.31475525650193,17.829919121677563,87.97953694851248
Country_531,0.24875913925381588,444.7330251418056,13.010059523579942,19.365156521818506,83.85566858980759,61.4964656114259,17.679393017256295,7.274716051696572,6.276635567173838,13.091439125772498
Country_532,0.3345562790369052,534.1885948981267,47.10112395531427,7.212516289400639,78.72934972225418,98.17920369179562,11.075152723042725,54.01424287175688,66.6322657800141,86.51654808277657
Country_533,0.7559488206999292,542.2268738479344,45.11944088228993,49.37232835322151,58.36214774509174,65.90687762416286,85.51157454905432,63.229459883453245,67.0662852371788,44.04473129657631
Country_534,0.042791295354938086,493.5026757956418,77.00936376143662,41.376189873751414,83.17064688368454,23.77608234382984,77.14852394355795,21.029671278108275,42.78561847700944,32.56868229336656
Country_535,0.6432447933953321,496.50807724746323,39.07164901130913,36.106766904818926,26.096736675607822,60.09944998031248,83.58057777864045,64.54284821866412,82.04370194258046,84.32887797219136
Country_536,0.9483321374538296,477.5884362907774,95.75677643388907,46.73457512349756,14.97133791024311,42.25775378254282,94.4634523387015,2.6005348782594973,49.055249798781254,37.36430452949344
Country_537,0.48066073196641046,540.5926988822059,97.91515640675755,31.508300652310133,7.445870194307968,87.74568695851711,55.89704196911539,32.39943863339379,57.067237036164165,60.330244019032676
Country_538,0.6557040278717963,570.0174030537903,94.55299730907734,17.152836148797522,9.360792408042906,87.0948119485124,35.65970148234611,43.03722716416563,22.524544247684,18.73680855903139
Country_539,0.5548930670256362,453.4225562073616,30.64906333954196,2.96821268161096,71.27889108720206,39.06193714685221,10.903549797972989,37.163777309692215,29.368429606628165,54.5003003939263
Country_540,0.6883256917187756,451.5734053798355,33.35167805778323,3.4385326969339545,3.901273186212051,10.810867403758417,47.41037202723464,73.8332441493858,29.746083825964497,0.6278773701255846
Country_541,0.6985546163762287,496.1852331851202,74.47153108534087,49.857559628810854,8.23268896105791,43.15797509095486,79.7737343489194,69.39693121284729,15.784622215807875,70.42623872473905
Country_542,0.028629619810012774,464.35790120530635,32.474330189112955,19.84031680415149,52.01121439859612,0.49852544569213286,34.24271367642968,16.48666792991824,75.70807556098956,98.78743648747586
Country_543,0.5401666767094494,516.9678825660492,62.23474672125447,6.456481405620007,28.385022977331896,78.913027845192,45.906112111362354,85.48967323143849,10.018195735442648,65.04373181669452
Country_544,0.028470990902916715,575.0642693760495,88.34154597787482,44.603040878072626,54.19572155113646,41.345298331174476,35.05896435783777,37.050309232746415,5.140204141006011,80.55300933838583
Country_545,0.35534148719340075,423.5382522790621,91.61820471918665,23.35230687063366,36.82832633202988,34.29499314221302,13.694068166463646,89.97968699037649,17.100836973226674,91.93028894737094
Country_546,0.18275366638201718,452.1935842507056,0.12165978196917449,44.15172906468168,67.44117768206596,68.93335658547352,75.09586661207095,63.19735368895225,74.1578300694235,64.89522236407504
Country_547,0.2503453366178596,595.0009577410821,95.63905780306285,4.270033657673439,63.340411166147945,21.934996110645177,33.32259994543259,89.5738143052309,82.17883139681086,65.37479346344729
Country_548,0.5029694528949564,515.9463470084941,87.78068135255198,39.59130206399027,87.90496438347094,9.24160541321315,23.033833669379543,34.87404986472378,69.7902152024209,6.887620070781186
Country_549,0.03565308971721948,534.1715678983747,4.293626807144124,8.161563146425282,43.3117898779958,81.68286403701546,99.00643001834094,47.257176516611,0.8475643497684593,30.192481094373147
Country_550,0.6278375067727723,548.723738005187,96.57608581027193,21.07001022924783,54.219524514087645,25.387985145848923,25.16040212568109,11.893828731143309,60.85044991350793,23.118741817137966
Country_551,0.9717469394777243,419.7098474731029,92.23849169164164,5.91406401177243,68.34551175253857,7.941410058648168,24.17354307681503,58.63686850966061,87.1330135042373,95.88766667709567
Country_552,0.38279324921287894,453.08512305351684,44.995299534486676,35.914540062375075,59.094221518526744,87.40731350334066,58.335298575250825,89.43956537720192,18.209502831072754,75.19951345409979
Country_553,0.9224804245741505,570.2829483075825,82.09413037697666,25.674033406378694,30.968549201473937,54.695665922930736,23.637646884703035,84.87813538349693,89.48050454910589,20.06506035623018
Country_554,0.4471053005394965,410.999564352616,62.71306788297122,15.484819546337159,86.339480768646,49.968765912494504,82.74679210543584,59.73737286857103,70.08566941474392,62.970473962868
Country_555,0.3447313045581415,432.6594936835366,78.70222859434605,33.547030893245434,17.31212524198812,30.860942998723207,56.256865118605624,57.319606391206335,80.25909612792533,84.51288367190828
Country_556,0.38637170447406843,417.2581499162737,16.704967743704245,11.658819815956134,45.2400467268777,62.1017161424713,41.72229166272011,42.70304569394949,35.397394305988584,12.087596362381925
Country_557,0.15487951817004642,440.9751442145555,68.42411806582496,37.77470864843024,9.827894941662363,87.22990414413714,26.05156206208744,34.55942126451321,37.64514369695069,13.051970035028681
Country_558,0.16544064020534766,526.9880099804077,53.71058497442455,0.06671000327286847,66.51219495541437,25.2222156320831,34.573896705058004,97.77659493731655,94.82369722614743,6.425090814671586
Country_559,0.42646398666380936,503.6729576746732,88.0367302103386,47.72188894952451,58.12454425829008,85.42855499494469,40.889622671868786,73.10856964410023,27.519377099684295,7.990737198267128
Country_560,0.3274363416124153,452.4261396610012,80.91883746573816,13.190840022258593,59.93063797844701,79.00765972448778,79.44922465317816,33.6133620884812,82.18767579575422,25.660189667805312
Country_561,0.30555577271304424,455.482207426404,1.7911427290166815,26.59145783351236,24.538362875025953,20.08232958145023,54.11212846582467,90.48767751258482,87.52079436273281,62.97491471893702
Country_562,0.9197647579075413,472.0632449314635,8.710720745503064,44.90658488259653,87.82101930291233,47.64708886975559,19.99677797600742,37.7612556053479,8.646482725161631,59.50337443600805
Country_563,0.7540046958367811,532.0397267260034,99.21518407017022,1.3565692060120316,38.65436502752261,82.95923922042601,57.43077463589261,90.71017946116123,35.80713326500663,21.591233832418677
Country_564,0.03431847587752457,584.7086910860551,91.2032223194863,26.853053489794032,73.66148343814193,6.905210696731334,40.278647420953874,80.82953130217797,17.450850768989913,3.089635855476014
Country_565,0.0587564816088082,492.4382900351274,95.3625503670176,34.25375444939494,3.1054656609817655,39.986440468114445,98.50372683859997,5.708870518551679,26.66468306935409,31.618269428200684
Country_566,0.8803047802847038,551.3430199027007,49.266962243545045,43.58697820550883,31.864113479776236,53.06194667564864,52.95756610695823,63.036724999935124,82.70132873634138,14.014103231431484
Country_567,0.015302193861260749,413.3057281550019,64.19409611534095,45.57369720895972,29.25681302858655,91.59849391238839,24.285358168004034,20.05728374452773,47.71254645468096,47.88352757811101
Country_568,0.16921020654797492,542.4620406566987,0.3954689307398951,44.79162427521973,3.377334675754906,54.454238146958126,75.94589511754776,13.205406781178631,80.7895154646443,81.43591519436359
Country_569,0.3861589948920243,489.36309606536577,69.04748283973584,12.345317208151997,28.33535313500859,74.98056297729525,58.74801319711283,7.562633576548572,85.49514446183656,43.19485623986953
Country_570,0.3159647748965252,489.59007217919327,38.283997313111726,3.651534147238955,7.851772752130504,94.01277466819576,37.93032284167327,78.58654242427642,59.35692126711905,27.092987545655667
Country_571,0.971612955562284,496.65791585460033,43.70134751034346,49.16121775451961,69.45568222042012,88.13463114844465,77.0327815716093,7.271707041336661,74.92951341839019,51.789234042434515
Country_572,0.508550726226912,415.63798496806686,19.55832408391831,46.84047183766772,71.63689513881398,52.49896570973122,70.57310550986409,99.6763175120912,4.3039729136270966,85.67889943160843
Country_573,0.48211227525291467,545.399982186802,89.3559492020848,31.70188336074699,83.84166736311528,85.7540007956638,33.988581136710685,96.42025539627055,89.88540567976118,67.83362799999018
Country_574,0.6475851349717575,586.8658391278403,42.58876616907177,20.916286633175968,68.23942943686878,42.35955060722074,44.44268792593348,47.396162145922695,83.8729387806789,71.08776597952819
Country_575,0.23264086007330576,412.3492503771495,80.02716575066327,3.591006658693491,64.97933791204493,8.842027048017453,7.079196830600088,26.065534344458907,86.51931675037075,97.7870368383779
Country_576,0.4702416944284694,443.90782690291877,84.35142845766471,23.161287050380192,75.56987433158459,8.6992679825612,84.08135365859727,9.241271303291665,87.8637580479402,34.34130969453558
Country_577,0.12232004473814706,574.3750830710617,24.24240780764745,43.71000979716668,38.55435023902969,27.066802181207883,42.72620615311883,88.69227291167465,29.083288597337,13.305545970054212
Country_578,0.882876792585577,414.5031656763368,30.58079352107437,40.82608328426492,11.868685461793282,72.08863333410383,92.95916767341136,60.4997107008691,86.40444641940852,6.914221057729764
Country_579,0.297306542935897,403.22630551748205,53.717613999039045,2.6037449555716465,17.482300565794475,75.82850857036296,73.68594916338648,90.7641060981511,34.35379167908338,1.7471866169835204
Country_580,0.7860083194931695,420.9871240577714,52.78465441419592,41.86131901034747,1.6455961351382498,9.033521929925426,64.54826262318608,48.414959206853084,25.843977067340685,30.654421940311003
Country_581,0.4586506871910817,406.08294299976325,21.189020846123807,18.752785658572336,60.541413990081615,64.58261490394615,32.639944059445206,88.35028874141818,27.63201743833532,67.75266704635214
Country_582,0.13115509874744347,460.63754872350046,82.63676518771025,27.03964835543814,47.040158171108025,64.31893374281266,35.57046153994704,16.83581113060545,2.829675771198803,32.55292010061678
Country_583,0.8157744436084997,574.5946869188391,93.15164840401417,37.2858047709692,42.993668068235145,76.71046227596418,16.11854541254135,75.35421313843149,4.068984230425043,8.334102623611273
Country_584,0.398161200055409,426.52485229322184,87.10956578835267,29.816414900031617,45.935293370221245,93.25019671139158,89.64745595900024,64.40325920828806,68.14315194431796,14.694984324966553
Country_585,0.17929099593370812,520.0832236371542,15.248000427163644,31.554201961755556,47.128191708030776,57.18168254497444,36.38057036313782,32.33043652251153,89.56502128591343,59.539781706138704
Country_586,0.7834749442342539,416.50533891186797,54.116332931347756,33.33417418363382,29.325868004098897,46.90388250930984,39.04620962787572,17.82526224476888,47.34081411369253,82.6010206849994
Country_587,0.42629047131152387,464.14076694244636,63.43651310851888,22.869744686949854,1.1432351760025994,41.645431088805786,19.623117949157287,27.285730398021933,26.07526634174916,70.86059021612755
Country_588,0.6976504862207998,446.39301876501577,13.847073941397426,16.071205264894,44.70568916422985,87.85833534412507,54.315473254925585,82.16907809380393,63.87380681093181,48.721481173743186
Country_589,0.23690464178081994,585.9356845084737,48.25107195707163,17.33129258498265,13.485043594710632,31.700371660268377,87.905531778359,77.34181288871127,63.377489373742854,85.69627336417248
Country_590,0.03941059562907112,558.8585812744947,13.536147225637162,4.269644694094577,88.82365067751647,54.539504611822544,65.80228620360347,98.46167841248273,44.45047287685783,59.56279722734703
Country_591,0.4305144074700511,403.7516793396521,10.075471016023506,36.51444633603014,53.49529261143054,7.401120837734155,29.652493132654822,25.46754606688343,9.346883691386122,9.177968655417734
Country_592,0.6859580387643978,508.0137117657674,92.21036198352817,49.18507597354264,18.625234603103735,69.99858239112574,30.240058714768693,74.58812181102871,65.73081353401395,21.82074545446372
Country_593,0.4878266671648869,570.6834640137693,11.146736118376566,4.081647298802698,4.667737344024269,81.2362336428714,44.113794848524556,36.364637566765225,42.863646858131524,73.27376770339228
Country_594,0.48465823568437305,425.98130077970455,63.530797540352324,13.230326541021753,28.60627554385058,65.56322412874921,61.3707471820689,18.47771071046258,65.96879716003272,66.4670358437183
Country_595,0.7362599524935942,410.2653766723934,68.95356920700567,20.65144830530607,3.697007655312534,54.22456989973673,30.29044624761671,60.18000228874304,84.87625318277439,41.68177251471401
Country_596,0.2541423959424638,488.62513695893495,28.039633705153644,34.152564666929166,85.87385843350239,40.52514260377889,79.60372130665677,36.2676895571066,3.526161046213583,8.533737424103215
Country_597,0.3623115451815777,419.73010695098253,2.4442668533965817,25.024007139619002,95.98896782817799,47.10906657153221,61.31763985045319,92.20551366199786,4.206041231037883,34.18693338138391
Country_598,0.6986361923110207,408.0343166182035,34.245309785787725,24.060068166465836,14.66613562138236,37.968811116250954,44.42123244553496,68.69785004675214,61.825708698742496,6.709000012956279
Country_599,0.915557940118839,455.1269083444795,83.85430492597222,49.23132923018612,46.412440544614675,86.68480768396091,55.48727140637483,37.48013536438093,15.314215465078728,35.992360881116234
Country_600,0.8715909819588875,546.8047121886484,4.664518382930794,24.459734167204676,7.49204643813195,65.89120560504041,42.22468013098044,45.365742514151655,70.92672471970289,40.0688783368501
Country_601,0.7920447308735977,500.985138775101,22.20220017052492,7.327896769338832,93.66335770612865,27.30511827461729,75.13145685539277,56.52155548869312,84.43055045467315,44.47590627553004
Country_602,0.2623288255936005,585.9504509477595,3.817065718849366,18.976208243821834,91.4021061799812,6.4275214682615545,36.28568631611914,93.75484605376133,17.851409724541757,93.52394260947369
Country_603,0.8572409330222165,437.57233288641066,38.13928904973053,7.669795437487592,12.32506792278082,69.55800569712366,9.354688765741292,13.530230540517518,51.259847589241524,62.029952948222174
Country_604,0.9035986482282912,485.0049277232987,47.78794918878572,9.601961745986392,11.316127353549088,21.324458984895223,20.36061651624039,34.016653912994265,88.96849279174842,80.990019442748
Country_605,0.1389721912720442,471.8993037442523,69.31918123109513,29.55729210137754,9.555837652820987,58.23992050955496,53.20613274667482,74.2370953856939,83.16978306910093,6.9712196231182855
Country_606,0.8807361611603595,585.6950596018136,79.07320707613698,28.97792819378282,43.518103047755915,29.77569337969087,65.24725433136996,86.26392450189981,36.743762487590814,69.28315362456549
Country_607,0.44618384588620963,472.7547752453186,73.62701264304475,48.76247630195346,15.51657417648894,97.43528548463038,43.95262387525132,61.33432187446973,8.755543251109222,35.98750050849476
Country_608,0.1656347385965653,555.7725541030582,39.2840578983578,18.625557023320216,17.56548277078307,16.054968594497964,14.230199535935405,11.672511346067793,65.82274674698479,82.9914117237509
Country_609,0.44634826079301015,550.682465323859,51.838612830388655,13.86621126207926,4.973321654388407,87.79127463443801,69.04155436648924,14.07197390005952,64.16788065544064,15.098461008316722
Country_610,0.08514068815360532,523.3205956119098,20.94647401745261,15.585802698040219,54.00584390635521,30.725979487173337,56.608882578348506,21.73588923333356,28.123337193669183,37.55421958041902
Country_611,0.39715297525259385,480.3205706444768,78.653625676825,12.407262856749519,19.395041359621025,21.444365636032437,89.82781847671674,89.79736316509938,78.03160857853429,77.39413742838721
Country_612,0.3187123866360354,534.4280761536895,15.807852047367355,30.156276568642852,13.635965856108212,28.785661691496166,62.4371738811219,57.82116426820696,18.96733752787687,7.92740795443001
Country_613,0.14244390843211474,587.3011316181569,51.0605538401574,2.8084108526889584,3.979214687677035,57.69954226428291,7.190090281665896,46.376451177746105,61.315439395245775,99.21181752554682
Country_614,0.8704624491452473,598.7929353591782,70.28379788560765,33.9726392194571,74.48722427324435,92.78671752809517,4.816671724139409,60.68813098595939,35.91276734428974,42.72838090945268
Country_615,0.8997654780081746,556.181930191661,31.917651852363747,32.64759547778689,53.00145101236768,46.36441994380716,8.426236006175102,29.065878587487614,46.25118676860188,38.47815644226545
Country_616,0.8591985160567789,532.5196874042507,61.153955599795204,15.722631350808097,99.46039885001238,70.0159000056846,3.884602419533234,83.21491287649864,17.831657912158395,69.15662812331622
Country_617,0.2654611017315295,529.6664165732169,16.253274984955624,49.19241041523148,37.48765265120634,47.07410499988506,97.60267324165908,16.754646695418064,5.003852391148856,17.602934751537312
Country_618,0.7230045787851803,482.48203437004105,73.91146014840663,25.615370961526914,95.24663704480848,62.235851905713325,9.111848603183216,60.304892072453654,95.49962190451191,47.67316533405832
Country_619,0.10262943948292969,547.845762254376,29.7046624116447,31.251927116205884,37.20903885329893,72.8479100831263,85.31779538744011,99.37234429111706,74.6188244410672,14.702232814104043
Country_620,0.8579348083001342,489.26904955112735,84.58843639088872,44.01105421697559,85.13341596374977,62.12233612702672,23.478529848266515,56.14258904084405,12.262058546564635,37.2970886124525
Country_621,0.9693046096438366,529.5518054019896,91.47707663621385,21.651293421540153,97.48567983080574,13.931074983650127,86.73049093674703,53.57840490329161,62.342606472712724,52.56847046327
Country_622,0.8381446787184427,554.1921170956765,73.59084409979461,23.47177705764881,35.388318910816494,22.274240295201164,24.32729048265051,90.27951415578099,32.93590425445917,44.945148650663356
Country_623,0.4979382299317088,517.1104084266923,91.959050262006,38.53419883750854,21.01885424363776,61.71984502113791,36.34936785707863,38.97302949468079,80.48096408141066,75.01248741061171
Country_624,0.6472701433509269,488.3002617888742,85.45088700732802,3.8834809551318794,80.53894268532275,51.1173991512078,73.23907564941958,73.40335524634024,5.703585631215036,48.56696753303347
Country_625,0.7393151558177519,588.7083850857618,12.548606735559087,34.23620631443677,85.56637426208921,93.53005761184406,15.084426616355785,87.63932057244789,19.263350754616848,28.68881570762296
Country_626,0.40015961226966645,579.5779771194794,82.14197954449675,10.07533773663975,0.1337443775435765,39.170038863335364,76.58856471464357,14.075281879336732,0.812890183790127,48.11342236209457
Country_627,0.8257985900605169,563.6349011099794,19.033870022486454,37.407189210889605,37.81684855913727,69.40919903488442,97.28336200290664,40.725193600813455,80.32146588579063,6.314797082210877
Country_628,0.2251457526989704,437.64174276877833,18.48140545968857,17.798408139649673,83.195635205446,82.1652045000554,58.73457185793689,67.24730206696235,8.468039111118909,79.6099162082915
Country_629,0.6469891219115839,531.9578386448339,17.988309982291774,5.736269853546089,9.039360600419922,34.02699431860994,20.97024925599755,7.447666382859463,2.1189576684453093,59.112993512009304
Country_630,0.6184656888680808,540.0479225175125,10.630032011334867,25.512454153685244,71.8470097273183,49.493799407054674,30.751450368080192,43.84389203673229,91.74275972060386,19.57377605382149
Country_631,0.3235199036072566,425.9198842911057,78.46202300098993,4.990165598205704,24.020358291489963,86.69801146595506,31.708016137957806,41.740572181153446,75.8002080361084,49.320339595121155
Country_632,0.5833740419679747,420.27775622875447,8.172705921335,41.03002000562789,71.6738696703068,58.93552205670891,24.885878965610843,25.160504552503337,33.19666223765543,3.9366778725462126
Country_633,0.9986947271206591,473.74723530232063,62.07431838180397,26.86522207850442,85.56217679852735,29.962078548712356,87.37732929244297,19.75230241960001,83.81483600904522,41.88134339042829
Country_634,0.836298181508061,515.5189074988857,76.43563045598734,44.71593388175094,72.89249169443403,93.2821500036094,94.36209545578289,81.3090174216072,12.85054063331259,68.04177457766237
Country_635,0.7647450825440479,438.97277951470767,69.79177603397207,45.6336859242369,82.36776258166746,3.8664042700346735,7.165660801503559,37.27105473353103,21.643143467633706,88.61730478059702
Country_636,0.03304105312813155,549.2871988656848,61.60806996633406,10.228936780348107,73.03647294914471,4.839541530863878,53.01647640030694,35.606873118876656,38.12316622847989,14.400442145270386
Country_637,0.5915980717177017,566.1944444155884,55.88589836225542,5.5226443441839965,32.576799889918505,20.096933692761542,36.73716219389536,31.351219941576723,26.041247928426692,2.182525798439261
Country_638,0.7299631647374507,480.88296507782763,24.315327556869292,23.366809686171376,63.92561330845171,23.13478150954036,39.39921173732445,91.83310221661459,67.00828044794002,3.0526285266109343
Country_639,0.15174412642962454,523.6436130551214,80.58151524441158,18.62400938110068,72.55588875317252,35.53124358576598,54.04526930648713,26.434648970460273,31.38986405776496,42.33436005232933
Country_640,0.06681581117564395,412.20514277576825,41.013338108581586,5.372277396299097,54.898037637941584,21.322398615847217,79.72379305953638,34.46569193991337,91.84649604212761,77.56608732518399
Country_641,0.3695712948346729,450.0655491953793,81.0949896929666,20.583408073124193,69.17897236708495,63.55397787263697,20.887342234116556,82.13542772109683,97.73784646654568,39.718286872996764
Country_642,0.41956555909989046,508.799461360794,33.1266497971868,33.504966431895156,42.829143300845416,77.44104420135079,88.24953864394165,53.10174107781849,23.23937541321579,58.64747617371988
Country_643,0.20272989582049372,547.5258886473939,48.645004496352385,24.813581198937555,8.505977999379223,67.08862777353805,99.85939465269115,4.172727445876445,29.229870034815086,55.625998158626814
Country_644,0.34161028006417027,429.9282971480819,36.48264682604597,45.79502038397785,16.271966908202195,33.257718430484154,60.07860923479278,78.2473106262842,32.34265560467604,82.06847465296993
Country_645,0.428517369708282,585.9021085477489,38.31642746855691,26.140013929302363,89.09892604603156,59.8023292306463,25.87090955283773,19.660380802139777,54.19749730083305,97.39348528489788
Country_646,0.7637154805906994,402.934445804653,31.21068262534068,32.78845951301147,97.03150309697207,88.2295060814738,94.23997040647697,68.10180134838535,8.880214740441106,78.64963658272815
Country_647,0.5873043606265967,487.3868214179648,82.72471154428275,11.359483505774998,3.5344643013666244,7.758865906119283,48.002531664321104,95.95013071412689,14.66511506148802,58.337643415346285
Country_648,0.2481032219400633,462.3806426463542,78.61784299134081,8.652179555926198,95.69944928903507,47.85746436160632,13.65797441639749,62.91731722366632,55.68917442487981,46.09099618434463
Country_649,0.6189185991179333,592.1296938492189,66.79652045933958,37.803673768094946,42.944823365063776,41.05426116374302,92.32455870157949,33.76309883432283,88.53274330823395,88.20417882937868
Country_650,0.9249452985397274,539.6885909632505,61.892094336538875,11.782064655271979,97.45753358463116,94.41999048772318,58.60090659171424,51.131968143445704,94.61052835889411,62.35368548270627
Country_651,0.9311791043207289,585.1283790731693,18.640796434138107,32.99900451022038,74.40178863659071,56.62550929559602,86.38065320859421,42.676724942505516,60.410153063583834,8.069928413525885
Country_652,0.39950569708753136,583.3997559909144,61.05605271228971,33.00152056628464,93.61174893812525,53.06855563120487,42.84537871804138,52.02808318558857,16.599009389039054,25.97038461707314
Country_653,0.3601949012033614,513.4412022915363,77.99740177192132,18.536784980750344,77.31963414674475,91.38684532823541,35.19709046227938,41.16941382273463,30.15271585875453,63.626255333161
Country_654,0.3826771702224011,470.58661121626665,64.03733921537714,43.4932100990307,79.22638908258092,85.7980147583581,94.04733575552271,17.073642871406257,29.40838143827914,65.43754676766675
Country_655,0.9808746690974782,423.10439276399376,36.89842621320013,29.74231198354022,84.23187912159669,95.94249944523054,56.0305612136448,45.701236893130414,25.779912532917958,32.3366689095392
Country_656,0.8555896408315037,486.03118519143493,21.81108061504664,12.795517674258733,40.66427290110751,72.38898676303931,91.35507400353492,4.361014313979561,54.04551616445057,54.62284974632551
Country_657,0.5001220356776073,557.9201080765149,47.00489384784182,33.559649330300445,80.11908507481289,3.5387206977361196,50.99224408699122,53.69489347722924,0.21114909277752947,86.17926156172712
Country_658,0.2727155567460179,497.9716048896794,69.87682329788687,6.063882491856631,5.405116686631795,1.9543662414405194,0.058009272125636446,99.25054986452758,41.56638343523039,52.008712372598644
Country_659,0.5233830158373093,490.85585086077816,8.098265027411578,4.5313455973907235,99.46808791568941,23.688150791402595,32.35197708527154,3.8422016427745453,10.399444517854429,93.44097404120998
Country_660,0.7766062691129744,457.21522348807014,36.58184639669591,28.446408213223023,82.24759002430194,73.67105709445437,50.74835066489758,92.39536757085338,44.653902024735615,47.999488097491664
